strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
B,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
C,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
D,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
E,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
F,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
G,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
H,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
I,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
J,NA,pRW0041,pRW0044,pRW0046,pRW0047,pRW0048,pRW0053,pRW0056,pRW0058,pRW0059,pRW0060,pRW0077,pRW0080,pRW0082,pRW0083,pRW0084,pRW0125,pRW0128,pRW0130,pRW0131,pRW0132,blank,GFC0153,NA
